video,Incident window start frame,Incident Detection,Crash Severity,Ego-car involved,Label,Number of Bicyclists/Scooters,Number of animals involved,Number of pedestrians involved,Number of vehicles involved (excluding ego-car),Caption Before Incident,Reason of Incident
159,111,1,1. Ego-car collided but did not stop,1,ego-car hit an animal,0,1,0,0,Ego-car drives on a rural road with a blue sign visible ahead.,A cow crosses the road ahead and collides with the ego-car.
160,31,1,6. One or Multiple vehicles collided but ego-car is fine,0,vehicle drives into another vehicle,0,0,0,2,Ego-car drives on a city road with multiple lanes of heavy traffic.,A black car cuts in from the right lane and collides with a red car.
161,193,1,3. Ego-car collided with at-least one person or cyclist,1,ego-car hits a crossing cyclist,1,0,0,1,Ego-car drives on a clear road with a truck ahead and no immediate hazards.,A cyclist crosses the road from the right and collides with the ego-car.
162,11,-1,0. No Crash,0,unknown,0,0,0,0,Ego-car approaches an intersection with crosswalk and oncoming traffic.,No visible incident or hazard in the video frames.
163,207,-1,0. No Crash,0,unknown,0,0,0,0,Ego-car drives on a residential road with streetlights and parked cars visible.,No incident detected; normal driving on a dark residential street.
164,91,0,0. No Crash,0,unknown,0,0,0,1,Ego-car approaches overpass with a vehicle ahead in the same lane.,"Ego-car enters overpass shadow, causing sudden visibility drop and potential hazard."
165,1,-1,0. No Crash,0,unknown,0,0,0,1,Ego-car approaches intersection with red lights and visible cross traffic.,No incident occurred; traffic is stopped at red lights with no collision.
166,51,0,0. No Crash,0,bicycle on road,1,0,0,1,Motorcycle rides ahead near construction barrels on highway.,Motorcycle swerves and knocks over construction barrels on road.
167,101,0,0. No Crash,0,vehicle overtakes,0,0,0,1,Ego-car approaches an intersection with traffic lights and oncoming vehicles turning left.,A white SUV turns left across oncoming traffic and cuts in front of the ego-car.
168,81,1,6. One or Multiple vehicles collided but ego-car is fine,0,vehicle drives into another vehicle,0,0,0,2,Ego-car drives on highway with multiple trucks and a van ahead in adjacent lanes.,"A large truck merges right without clearance, sideswiping another vehicle."
169,131,0,0. No Crash,0,flying object hit the car,0,0,0,2,Ego-car approaches an intersection with a truck and a car ahead.,Debris is thrown onto the road causing a hazard for vehicles.
170,61,0,0. No Crash,0,pedestrian is crossing the street,0,0,2,0,Ego-car approaches roundabout with vans and clear road markings ahead.,A pedestrian crosses the road unexpectedly in front of the ego-car.
171,101,1,4. Other cars collided with person/car/object but ego-car is ok,0,vehicle drives into another vehicle,0,0,1,2,Ego-car drives on a city road with oncoming traffic and parked vehicles.,A pedestrian crosses the road ahead as ego-car approaches.
172,21,0,0. No Crash,0,vehicle overtakes,0,0,0,1,Ego-car drives on a highway with a red truck visible ahead in the right lane.,A red truck merges into the adjacent lane near the ego-car causing a near-miss.
173,61,1,4. Other cars collided with person/car/object but ego-car is ok,0,many cars/pedestrians/cyclists collided,2,0,0,1,Ego-car follows a motorcycle ahead on a city road under an overpass.,"The motorcycle ahead loses control and falls, causing the rider to slide on the road."
174,91,0,0. No Crash,0,flying object hit the car,0,0,0,1,Ego-car follows a black car on a highway with clear lanes ahead.,Debris from a vehicle rolls into the lane causing a hazard.
175,1,-1,0. No Crash,0,unknown,0,0,0,0,Ego-car drives on a city road with light traffic and clear skies.,No incident observed; road conditions remain normal across all frames.
176,243,0,0. No Crash,0,scooter on the road,1,0,0,2,Ego-car approaches a parked white car on a winding mountain road.,"Scooter is present ahead on the road, causing potential hazard."
177,425,1,6. One or Multiple vehicles collided but ego-car is fine,0,car hits barrier,0,0,0,1,Ego-car follows a black SUV in the right lane on a highway.,The black SUV veers right and crashes into the roadside embankment.
178,81,1,6. One or Multiple vehicles collided but ego-car is fine,0,car flipped over,0,0,0,2,Ego-car drives on a highway with multiple vehicles ahead in lanes.,A vehicle ahead loses control and flips violently across lanes.
179,181,1,6. One or Multiple vehicles collided but ego-car is fine,0,vehicle drives into another vehicle,0,0,0,2,Ego-car travels on a multi-lane road with a bus and sedan ahead.,A sedan cuts in front of the bus and collides with it.
180,31,0,0. No Crash,0,vehicle overtakes,0,0,0,1,Ego-car drives on a city road with moderate traffic and clear weather.,A car cuts in from the left lane ahead of the ego-car.
181,81,0,0. No Crash,0,vehicle overtakes,0,0,0,1,Ego-car approaches a crosswalk with a bus and a car ahead on the road.,"A blue car cuts in from the right lane, forcing an evasive maneuver."
182,7,0,0. No Crash,0,vehicle drives into another vehicle,0,0,0,1,Ego-car follows white sedan at intersection with multiple vehicles stopped.,Blue truck moves left across lanes while other vehicles remain stopped.
183,81,0,0. No Crash,0,unknown,0,0,0,1,Ego-car drives on a highway under an overhead sign with multiple vehicles ahead.,A truck on the left lane drops a large piece of debris onto the road.
184,221,1,4. Other cars collided with person/car/object but ego-car is ok,0,vehicle drives into another vehicle,0,0,0,2,Ego-car drives on a wet mountain road with no visible traffic ahead.,A car crosses the center line and collides with an oncoming truck.
185,91,1,1. Ego-car collided but did not stop,1,flying object hit the car,0,0,0,2,Ego-car follows a Toyota truck on a multi-lane highway with moderate traffic.,An unsecured wooden plank detached from the truck and hit the ego-car.
186,211,0,0. No Crash,0,unknown,0,0,0,1,Ego-car follows a car on a wet road under an overpass with traffic lights ahead.,A vehicle stops suddenly ahead on the wet road causing potential rear-end hazard.
187,61,0,0. No Crash,0,vehicle overtakes,0,0,0,2,Ego-car drives on a multi-lane highway with steady traffic and clear road signs ahead.,"A tire detaches from a vehicle and rolls across lanes, causing debris on the road."
188,51,1,6. One or Multiple vehicles collided but ego-car is fine,0,vehicle drives into another vehicle,0,0,0,2,Ego-car drives on a highway with multiple lanes of steady traffic.,"A white van cuts in from the right lane, forcing a lane change."
189,1,-1,0. No Crash,0,unknown,0,0,0,0,Ego-car drives on a multi-lane city road with vehicles ahead and oncoming traffic.,No incident observed in the provided frames.
190,1,-1,0. No Crash,0,unknown,0,0,0,0,Ego-car drives through a residential intersection with crosswalks and parked vehicles.,No incident observed; normal driving through a residential area.
191,209,0,0. No Crash,0,vehicle drives into another vehicle,0,0,0,2,Ego-car follows traffic on a multi-lane city road at night with visible lane markings.,"A vehicle cuts in from the left lane ahead, causing sudden brake lights across multiple cars."
192,31,0,0. No Crash,0,animal on the road,0,1,0,1,Ego-car drives on a rural road with oncoming traffic and a bear near the shoulder.,"A bear crosses the road in front of the ego-car, causing the driver to slow down."
193,1,-1,0. No Crash,0,unknown,0,0,0,0,Ego-car follows a silver car on a city road with a bus to the right.,No anomaly or incident observed in the provided frames.
194,381,0,0. No Crash,0,vehicle drives into another vehicle,0,0,0,2,Ego-car follows a loaded vehicle on a multi-lane highway with other cars ahead.,"A vehicle ahead emits dense smoke, reducing visibility and causing hazardous conditions."
195,285,1,6. One or Multiple vehicles collided but ego-car is fine,0,vehicle drives into another vehicle,0,0,0,2,Ego-car drives on a city road with multiple lanes of traffic ahead.,A black car cuts in from the left and collides with a blue car.
196,251,1,4. Other cars collided with person/car/object but ego-car is ok,0,many cars/pedestrians/cyclists collided,1,0,2,1,Two people with a bicycle stand on the right roadside near barriers.,A person loses balance while handling a bicycle and falls onto the road.
197,501,1,4. Other cars collided with person/car/object but ego-car is ok,0,vehicle drives into another vehicle,0,0,0,2,Ego-car follows a white car on a wet city road with cross traffic.,A red car turns left across oncoming traffic and collides with a white car.
198,1,-1,0. No Crash,0,unknown,0,0,0,0,Ego-car approaches an intersection with a yellow car and a white van visible.,No incident observed in the provided frames; traffic flows normally.
199,79,0,0. No Crash,0,unknown,0,0,0,0,Ego-car drives on highway with vehicles in adjacent lanes maintaining distance.,Debris appears on road ahead after vehicles pass oncoming traffic.
200,101,1,4. Other cars collided with person/car/object but ego-car is ok,0,vehicle drives into another vehicle,1,0,0,2,A scooter rider moves across the frame while a van approaches from the right.,A van cuts in from the right and collides with a scooter on the road.
201,295,1,6. One or Multiple vehicles collided but ego-car is fine,0,vehicle drives into another vehicle,0,0,0,2,Ego-car follows a white sedan in the same lane at an intersection.,A white sedan cuts left across lanes and blocks the ego-car's path.
202,1,0,0. No Crash,1,pedestrian is crossing the street,0,0,1,0,Ego-car approaches intersection with pedestrian waiting to cross on the right.,Ego-car runs red light while pedestrian waits to cross the road.
203,101,0,0. No Crash,0,scooter on the road,1,0,0,0,Ego-car approaches a yellow three-wheeled vehicle parked on the left roadside.,A yellow three-wheeled vehicle pulls out from the left side and crosses into the ego-car's lane.
204,1,-1,0. No Crash,0,unknown,0,0,0,0,Ego-car follows a white car on a multi-lane road with traffic cones.,No incident observed; traffic flows normally with no anomalies.
205,81,0,0. No Crash,0,flying object hit the car,0,0,0,1,Ego-car travels on a highway with multiple vehicles ahead in clear weather.,"A vehicle ahead loses cargo, causing debris to spill onto the highway lanes."
206,61,0,0. No Crash,0,pedestrian is crossing the street,0,0,2,0,Ego-car approaches a parked van with a pedestrian near the curb.,A pedestrian crosses the road unexpectedly in front of the ego-car.
207,21,1,4. Other cars collided with person/car/object but ego-car is ok,0,vehicle drives into another vehicle,1,0,0,2,Ego-car follows a white Volvo on a city road with parked cars.,A motorcyclist in yellow cuts in and collides with the white sedan.
208,81,1,4. Other cars collided with person/car/object but ego-car is ok,0,many cars/pedestrians/cyclists collided,1,0,2,2,A pedestrian walks ahead near a barrier while a car approaches from the left.,A pedestrian crosses near a barrier and falls as a car passes close by.
209,51,1,1. Ego-car collided but did not stop,1,ego-car hits barrier,0,0,0,0,Ego-car approaches crosswalk with large rocks and building ahead.,Ego-car veers left and collides with large rocks on roadside.
210,31,1,1. Ego-car collided but did not stop,1,flying object hit the car,0,0,0,0,Ego-car drives on a two-lane road with trees and clear sky.,"A large tree falls across the road, blocking both lanes."
211,41,1,6. One or Multiple vehicles collided but ego-car is fine,0,vehicle drives into another vehicle,0,0,0,2,Ego-car approaches intersection with green traffic lights and multiple vehicles ahead.,Van turns left across oncoming traffic and collides with a black vehicle.
212,451,1,3. Ego-car collided with at-least one person or cyclist,1,ego-car hits a crossing cyclist,1,0,0,0,Ego-car approaches intersection with cyclist crossing ahead in sunlight.,Cyclist crosses into ego-car's path at intersection causing collision.
213,1,-1,0. No Crash,0,unknown,0,0,0,0,Ego-car approaches an intersection with traffic lights and pedestrians waiting.,No anomaly or incident observed in the sequence.
214,61,1,3. Ego-car collided with at-least one person or cyclist,1,ego-car hits a crossing cyclist,1,0,0,0,Ego-car approaches intersection; a cyclist crosses the crosswalk ahead.,A cyclist enters the ego-car's path at the intersection and collides.
215,31,0,0. No Crash,0,unknown,0,0,0,0,Ego-car follows traffic on a multi-lane road under cloudy skies.,Unknown hazard: distorted windshield view with pixelation and artifacts.
216,101,0,0. No Crash,0,pedestrian is crossing the street,0,0,1,0,Ego-car drives on a highway with moderate traffic and clear weather.,A pedestrian stands on the highway median near oncoming traffic.
217,1,-1,0. No Crash,0,unknown,0,0,0,0,Ego-car drives on a curved road under an overpass with no visible traffic.,No anomaly or incident observed in the provided frames.
218,1,0,0. No Crash,0,vehicle drives into another vehicle,0,0,0,3,Ego-car follows a silver car with trucks parked on the right.,A red truck merges left into the ego-car's lane causing a near-miss.
219,11,1,4. Other cars collided with person/car/object but ego-car is ok,0,vehicle drives into another vehicle,2,0,2,2,Ego-car approaches intersection with pedestrians crossing and vehicles waiting.,A van cuts in from left lane and collides with motorcycle at crosswalk.
220,51,0,0. No Crash,0,animal on the road,0,1,0,1,Ego-car drives on a highway with a white car ahead and clear lanes.,"A brown SUV cuts in from the left, causing debris to scatter on the road."
221,101,1,6. One or Multiple vehicles collided but ego-car is fine,0,vehicle drives into another vehicle,0,0,0,2,Ego-car follows a white sedan on a narrow rural road with oncoming trucks.,A truck moves left to pass another truck and collides with an oncoming vehicle.
222,21,0,0. No Crash,0,animal on the road,0,1,0,0,Ego-car follows a white pickup truck on a multi-lane city road with moderate traffic.,"A large animal lies on the road ahead, causing vehicles to maneuver around it."
223,51,0,0. No Crash,0,vehicle overtakes,0,0,0,0,Ego-car drives on highway with trucks ahead and a car on the left shoulder.,A red and white truck stops on the left shoulder causing debris on the road.
224,31,1,4. Other cars collided with person/car/object but ego-car is ok,0,vehicle drives into another vehicle,0,0,0,2,Ego-car drives on a city road with a bus ahead and oncoming traffic.,A car cuts in from the left lane and collides with oncoming traffic.
225,81,0,0. No Crash,0,vehicle overtakes,0,0,0,2,Ego-car follows a red SUV with multiple vehicles ahead in adjacent lanes.,"A white van merges left across lanes, cutting in front of oncoming traffic."
226,1,1,4. Other cars collided with person/car/object but ego-car is ok,0,vehicle drives into another vehicle,0,0,1,2,Ego-car stops at an intersection with multiple vehicles and pedestrians.,A pedestrian walks into traffic and approaches a van's rear.
227,151,1,4. Other cars collided with person/car/object but ego-car is ok,0,many cars/pedestrians/cyclists collided,1,0,1,2,Ego-car approaches an intersection with a bus and motorcycle ahead.,A pedestrian falls near the bus at the intersection causing obstruction.
228,11,0,0. No Crash,0,vehicle overtakes,0,0,0,1,Ego-car approaches a freeway entrance with moderate traffic ahead.,"A vehicle merges sharply from the left, cutting in front of ego-car."
229,51,1,4. Other cars collided with person/car/object but ego-car is ok,0,vehicle drives into another vehicle,0,0,0,2,Ego-car approaches intersection with a blue truck turning left ahead.,A blue truck turns left across the path and collides with another vehicle.
230,205,0,0. No Crash,0,vehicle overtakes,0,0,0,1,Ego-car drives on a city road with moderate traffic and clear weather.,"A silver car cuts in from the right, causing a near-miss with the ego-car."
231,1,-1,0. No Crash,0,unknown,0,0,0,0,Ego-car approaches intersection with green traffic lights and multiple vehicles.,No incident observed; traffic flows normally through the intersection.
232,1,-1,0. No Crash,0,unknown,0,0,0,0,Ego-car drives on a clear road with a fence on the left.,No incident observed in the provided frames.
233,73,-1,0. No Crash,0,unknown,0,0,0,0,Vehicles are stopped at a traffic light with a tall building on the left.,No incident detected; traffic appears normal with no visible anomalies.
234,51,0,0. No Crash,0,unknown,0,0,0,0,Ego-car follows a blue truck at an intersection with green traffic lights.,"The blue truck emits sudden smoke, obscuring the left side of the road."
235,141,0,0. No Crash,0,unknown,0,0,0,0,Ego-car follows a white car on a rainy two-lane road with trees.,"A tree falls across the road ahead, blocking the lane."
236,81,1,6. One or Multiple vehicles collided but ego-car is fine,0,vehicle drives into another vehicle,0,0,0,2,Ego-car drives on a narrow village road with parked vehicles ahead.,A black van turns left across oncoming traffic into another vehicle's path.
237,51,0,0. No Crash,0,vehicle drives into another vehicle,0,0,0,2,Ego-car drives on a highway with multiple vehicles ahead in clear weather.,A tire detaches from a vehicle ahead and rolls into the ego-car's lane.
238,181,1,4. Other cars collided with person/car/object but ego-car is ok,0,many cars/pedestrians/cyclists collided,2,0,0,2,A tricycle moves across the intersection while bicycles approach.,A tricycle collides with a bicycle at the intersection causing a fall.
239,21,0,0. No Crash,0,animal on the road,0,6,0,0,Ego-car drives on a highway with two distant cars ahead in the same lane.,Sheep enter the highway from the right and cross into the ego-car's lane.
240,1,-1,0. No Crash,0,unknown,0,0,0,0,Ego-car drives on a city road with multiple vehicles at an intersection.,No incident observed; traffic flows normally through the intersection.
241,95,-1,0. No Crash,0,unknown,0,0,0,0,Ego-car approaches intersection with white and blue cars visible on left.,No incident occurred; normal driving through intersection with clear road.
242,161,0,0. No Crash,0,vehicle overtakes,0,0,0,1,Ego-car follows a van and a black car on a multi-lane highway.,"The black car cuts right into ego-car's lane, causing a near-miss."
243,51,1,4. Other cars collided with person/car/object but ego-car is ok,0,vehicle drives into another vehicle,0,0,0,2,Ego-car follows two cars at a red light on a multi-lane road.,A car cuts in from the left lane and collides with another vehicle.
244,1,-1,0. No Crash,0,unknown,0,0,0,0,Ego-car drives under an overpass with moderate traffic ahead.,No incident observed in the sequence; normal driving continues.
245,101,0,0. No Crash,0,bicycle on road,1,0,0,1,Ego-car approaches crosswalk with bicycle on right and car ahead.,Bicycle moves left toward ego-car's path without braking.
246,21,0,0. No Crash,0,flying object hit the car,0,0,0,2,Ego-car follows a pickup and a large truck on a highway.,Debris falls from the pickup truck's roof rack.
247,1,-1,0. No Crash,0,unknown,0,0,0,0,Ego-car moves past stationary shipping containers in a yard.,No incident observed; containers remain stationary throughout frames.
248,131,1,4. Other cars collided with person/car/object but ego-car is ok,0,many cars/pedestrians/cyclists collided,2,0,2,2,Ego-car approaches crosswalk with pedestrians and motorcycles ahead.,Motorcycle collides with pedestrian in crosswalk causing fall.
249,1,1,6. One or Multiple vehicles collided but ego-car is fine,0,vehicle drives into another vehicle,0,0,0,2,Ego-car drives on a city road with multiple vehicles and traffic lights.,A black SUV cuts in from the left lane into the ego-car's path.
250,411,0,0. No Crash,0,vehicle overtakes,0,0,0,2,Van approaches intersection while white car is visible in the distance.,Van turns left across oncoming traffic and passes in front of ego-car.
251,47,0,0. No Crash,0,vehicle overtakes,0,0,0,1,Ego-car drives on a city road with a yellow truck on the left.,"The yellow truck on the left moves right, cutting into the ego-car's lane."
252,31,0,0. No Crash,0,vehicle overtakes,0,0,0,1,Ego-car approaches intersection with green traffic lights and oncoming vehicle.,Oncoming vehicle crosses into ego-car's lane causing near-miss collision.
253,55,0,0. No Crash,0,pedestrian is crossing the street,1,0,0,1,Ego-car approaches a gated entrance with a pedestrian and a white car on the right.,A pedestrian crosses the path ahead near the gated entrance causing potential conflict.
254,251,1,6. One or Multiple vehicles collided but ego-car is fine,0,vehicle drives into another vehicle,0,0,0,2,Ego-car approaches an intersection with multiple vans and a truck ahead.,A white van cuts in front of another van causing a collision.
255,51,0,0. No Crash,0,scooter on the road,1,0,0,0,Ego-car follows a car ahead with multiple vehicles in adjacent lanes.,A pedestrian on a scooter enters the intersection from the right side.
256,41,0,0. No Crash,0,flying object hit the car,0,0,0,0,Ego-car follows a car and a truck on a multi-lane highway with clear weather.,Debris appears in the left lane ahead as the ego-car approaches.
257,1,-1,0. No Crash,0,unknown,0,0,0,0,Ego-car drives through a parking lot with multiple parked vehicles ahead.,No incident observed in the sequence; normal parking lot driving.
258,1,-1,0. No Crash,0,unknown,0,0,0,0,Ego-car is stationary in an indoor parking garage with parked vehicles ahead.,No incident observed; scene remains stable with no visible hazards or collisions.
259,81,1,4. Other cars collided with person/car/object but ego-car is ok,0,many cars/pedestrians/cyclists collided,1,0,0,2,Ego-car approaches an intersection with a purple car turning left ahead.,"A blue three-wheeled vehicle cuts in front of the purple car, causing a collision."
260,221,1,4. Other cars collided with person/car/object but ego-car is ok,0,vehicle drives into another vehicle,0,0,0,2,Ego-car drives on a wet road with oncoming traffic and raindrops on the windshield.,"A bus cuts in from the left lane, forcing the ego-car to swerve right."
261,125,0,0. No Crash,0,vehicle drives into another vehicle,0,0,0,2,Ego-car waits at an intersection with multiple vehicles ahead stopped.,"A black van turns left without clearing the lane, cutting in front of oncoming traffic."
262,1,0,0. No Crash,0,pedestrian on the road,0,0,2,2,Ego-car drives on a highway with a white car ahead and pedestrians on the right shoulder.,Pedestrians and a blue car are on the right shoulder near traffic cones.
263,199,0,0. No Crash,0,vehicle overtakes,1,0,0,2,Ego-car approaches intersection with a white car ahead and a taxi on the left.,"A taxi cuts left across lanes, forcing a lane change by the ego-car."
264,61,0,0. No Crash,0,pedestrian is crossing the street,0,0,1,0,Ego-car drives on a city road with a pedestrian ahead in the lane.,A pedestrian enters the road and walks across the ego-car's path.
265,11,0,0. No Crash,0,vehicle overtakes,0,0,0,1,Ego-car drives on a city road with moderate traffic and parked cars.,"A white sedan cuts into the ego-car's lane from the right, causing a near-miss."
266,1,-1,0. No Crash,0,unknown,0,0,0,0,Ego-car drives on a highway with moderate traffic and clear weather.,No anomaly or incident observed in the sequence of frames.
267,1,-1,0. No Crash,0,unknown,0,0,0,0,Ego-car follows a red SUV at a traffic light with heavy oncoming traffic.,No incident observed; traffic flows normally through the intersection.
268,1,-1,0. No Crash,0,unknown,0,0,0,0,Ego-car follows a white sedan on a multi-lane city road with parked vehicles.,No incident observed; traffic flows normally with no anomalies.
269,51,0,0. No Crash,0,vehicle overtakes,0,0,0,1,Ego-car stops at an intersection with red lights and multiple vehicles ahead.,"A truck enters the intersection from the left, cutting in front of the ego-car."
270,191,0,0. No Crash,0,unknown,0,0,0,0,Ego-car follows a red truck on a highway with multiple vehicles ahead.,"The red truck's rear wheels kick up dust, causing reduced visibility."
271,61,1,6. One or Multiple vehicles collided but ego-car is fine,0,vehicle drives into another vehicle,0,0,0,2,Ego-car approaches intersection with oncoming traffic and a gas station on the right.,A car on the left makes an illegal left turn across oncoming traffic.
272,1,-1,0. No Crash,0,unknown,0,0,0,0,Ego-car drives on a multi-lane highway with moderate traffic ahead.,No incident observed; traffic flows normally across all frames.
273,1,-1,0. No Crash,0,unknown,0,0,0,0,Ego-car drives on a city road with clear lanes and storefronts.,No incident observed in the provided frames.
274,317,0,0. No Crash,0,vehicle overtakes,0,0,0,1,Ego-car follows a car on a well-lit road with streetlights and trees.,The car ahead brakes suddenly with red brake lights visible.
275,21,0,0. No Crash,0,animal on the road,0,1,0,0,Ego-car approaches a goose standing ahead in the parking lot lane.,A goose walks into the ego-car's path causing an evasive maneuver.
276,91,0,0. No Crash,0,flying object hit the car,0,0,0,1,Ego-car follows a red SUV on a highway with a green road sign ahead.,Debris falls from a vehicle and tumbles across the highway lane.
277,51,0,0. No Crash,0,pedestrian is crossing the street,0,0,1,0,Ego-car stops at an intersection with multiple vehicles in adjacent lanes.,A pedestrian exits a car on the left lane into traffic flow.
278,1,-1,0. No Crash,0,unknown,0,0,0,0,Ego-car drives on a multi-lane highway with moderate traffic at night.,No incident observed; traffic flows normally across all frames.
279,1,-1,0. No Crash,0,unknown,0,0,0,0,Ego-car drives on a multi-lane highway with moderate traffic ahead.,No incident observed in the provided frames; traffic flows normally.
280,51,0,0. No Crash,0,unknown,0,0,0,2,Ego-car follows a car and a truck on a rainy highway lane.,Wet road and heavy rain reduce visibility while driving on the highway.
281,347,0,0. No Crash,0,vehicle overtakes,0,0,0,1,Ego-car drives on a wet highway under an overpass with multiple vehicles ahead.,"A van cuts left across lanes, forcing an evasive maneuver by the ego-car."
282,81,0,0. No Crash,0,vehicle overtakes,0,0,0,1,Ego-car drives on a multi-lane road with moderate traffic ahead.,A white Chevrolet truck cuts in from the left lane into ego-car's path.
283,321,0,0. No Crash,0,vehicle overtakes,0,0,0,1,Ego-car follows a black SUV on a city road with moderate traffic.,"A black SUV cuts left into ego-car's lane, causing a near-miss."
284,101,1,6. One or Multiple vehicles collided but ego-car is fine,0,vehicle drives into another vehicle,0,0,0,2,Ego-car approaches a truck and a parked van on a rural road.,A van enters the road and collides with an oncoming truck.
285,1,-1,0. No Crash,0,unknown,0,0,0,0,Ego-car drives on a residential road with a pedestrian ahead.,No incident observed in the provided frames.
286,41,1,6. One or Multiple vehicles collided but ego-car is fine,0,vehicle drives into another vehicle,0,0,0,2,Ego-car drives on a clear suburban road with oncoming vehicle approaching.,Oncoming car crosses into ego-car's lane causing a head-on collision.
287,71,0,0. No Crash,0,bicycle on road,1,0,0,0,Ego-car drives through an intersection with oncoming cars and a pedestrian ahead.,A cyclist enters the road from the right and cuts in front of the ego-car.
288,141,1,4. Other cars collided with person/car/object but ego-car is ok,0,car hits barrier,0,0,0,1,Ego-car approaches an intersection with a blue truck stopped on the left.,"The blue truck on the left collides with a pole, causing dust and debris."
289,121,1,3. Ego-car collided with at-least one person or cyclist,1,ego-car hits a pedestrian,0,0,1,0,Ego-car drives on a city road with parked vehicles and pedestrians.,A pedestrian falls ahead on the road causing an unexpected obstruction.
290,61,-1,0. No Crash,0,unknown,0,0,0,0,Ego-car drives on a highway with multiple lanes and moderate traffic ahead.,No incident occurred; highway driving with normal traffic flow.
291,81,0,0. No Crash,0,vehicle drives into another vehicle,0,0,0,2,"Ego-car approaches intersection with truck, white car, and black SUV ahead.","Truck's trailer loses load, scattering debris across the road lanes."
292,61,1,6. One or Multiple vehicles collided but ego-car is fine,0,vehicle drives into another vehicle,0,0,0,2,Ego-car stops at red light with oncoming traffic visible ahead.,A vehicle turns left across oncoming traffic and collides with another vehicle.
293,329,0,0. No Crash,0,vehicle overtakes,0,0,1,2,Ego-car follows a van on a two-lane road with oncoming traffic.,"A bus cuts in from the right, forcing the ego-car to swerve left."
294,241,0,0. No Crash,0,animal on the road,0,1,0,0,Ego-car is stationary on a city road with a dog in the lane.,A dog walks across the road in front of the ego-car.
295,81,0,0. No Crash,0,vehicle drives into another vehicle,0,0,0,2,Ego-car approaches intersection with multiple vehicles ahead and green traffic light.,"A vehicle ahead emits thick smoke, obscuring the road and nearby cars."
296,1,-1,0. No Crash,0,unknown,0,0,0,0,Ego-car travels on a highway under an overpass with multiple vehicles ahead.,No incident observed; traffic flows normally under the overpass.
297,91,1,3. Ego-car collided with at-least one person or cyclist,1,ego-car hits a crossing cyclist,1,0,0,1,Ego-car approaches crosswalk as a child on bicycle enters the road ahead.,A child on a bicycle crosses into the ego-car's lane causing a collision.
298,81,0,0. No Crash,0,scooter on the road,1,0,0,2,Ego-car follows a black sedan in heavy urban traffic with multiple lanes.,A scooter enters the lane causing the black sedan to brake suddenly.
299,101,0,0. No Crash,0,vehicle drives into another vehicle,0,0,0,2,Ego-car follows a white sedan in heavy urban traffic on a rainy day.,"White sedan cuts left across lanes, causing adjacent vehicles to brake."
300,101,1,4. Other cars collided with person/car/object but ego-car is ok,0,vehicle drives into another vehicle,0,0,0,1,Ego-car approaches a curve with a white van visible ahead on the road.,The white van cuts across the road and collides with the ego-car.
301,41,1,4. Other cars collided with person/car/object but ego-car is ok,0,vehicle drives into another vehicle,0,0,0,2,Ego-car drives on a residential street with parked cars on the left.,A white car cuts in from the left and collides with the ego-car.
302,41,0,0. No Crash,0,animal on the road,0,1,0,0,Ego-car drives on a highway with multiple lanes and moderate traffic.,A dog jumps out of a white pickup truck and runs onto the highway.
303,41,0,0. No Crash,0,animal on the road,0,1,0,0,Ego-car drives on a two-lane road with oncoming traffic ahead.,A deer crosses the road from right to left in front of the ego-car.
304,111,0,0. No Crash,0,pedestrian is crossing the street,0,0,1,0,Ego-car approaches intersection with green traffic light and pedestrians crossing.,A pedestrian crosses against traffic light in front of ego-car.
305,41,1,4. Other cars collided with person/car/object but ego-car is ok,0,vehicle drives into another vehicle,0,0,0,2,Ego-car approaches intersection with blue truck and oncoming white car.,White car turns left across path and collides with blue truck.
306,51,0,0. No Crash,0,pedestrian is crossing the street,0,0,1,0,Ego-car stops at intersection with pedestrian crossing and traffic lights red.,A pedestrian crosses the intersection while a gray SUV turns left.
307,31,0,0. No Crash,0,pedestrian is crossing the street,0,0,1,0,Ego-car drives on a multi-lane city road with vehicles ahead and pedestrians at crosswalk.,A pedestrian crosses the road from the left and enters the ego-car's lane.
308,251,1,4. Other cars collided with person/car/object but ego-car is ok,0,many cars/pedestrians/cyclists collided,1,0,2,0,Ego-car drives on a wet city road with moderate traffic and pedestrians.,A pedestrian crosses the lane and collides with a motorcycle.
309,151,1,4. Other cars collided with person/car/object but ego-car is ok,0,many cars/pedestrians/cyclists collided,2,0,0,2,"Ego-car approaches intersection with bus and white car ahead, traffic moving normally.","A motorcycle cuts in front of a white car, causing a collision at the intersection."
310,91,0,0. No Crash,0,vehicle drives into another vehicle,0,0,0,1,Ego-car approaches a roundabout with a blue van turning right ahead.,The blue van's rear door is open and debris falls onto the road.
311,51,0,0. No Crash,0,vehicle overtakes,0,0,0,1,Ego-car follows a blue van on a rural road with houses and trees.,"The blue van cuts left across the lane without signaling, causing a near-miss."
312,1,0,0. No Crash,0,vehicle drives into another vehicle,0,0,0,2,Ego-car drives past parked cars on a city road.,A silver sedan drives away from the curb and merges into traffic.
313,81,0,0. No Crash,0,animal on the road,0,100,0,0,Ego-car approaches intersection with clear road and no visible obstacles.,As many as 100 geese cross the road ahead at the intersection.
314,1,-1,0. No Crash,0,unknown,0,0,0,0,Ego-car drives through a city intersection with green traffic lights and parked cars.,No incident observed; all frames show normal urban driving conditions.
315,1,-1,0. No Crash,0,unknown,0,0,0,0,Ego-car drives on a city road with parked cars and traffic ahead.,No anomaly or incident observed in the sequence.
